section_id,ge_code
2025_Spring_28126,GE-1A
2025_Spring_01014,GE-4
2025_Spring_05788,GE-1B
2025_Spring_05152,GE-2
2025_Spring_12005,GE-5A
2025_Spring_33376,GE-1A
2025_Spring_27603,GE-1A
2025_Spring_27705,GE-1A
2025_Spring_28122,GE-1A
2025_Spring_28124,GE-1A
2025_Spring_28425,GE-1B
2025_Spring_28180,GE-4
2025_Spring_28180,GE-8
2025_Spring_27600,GE-4
2025_Spring_27600,GE-7
2025_Spring_27600,GE-8
2025_Spring_38442,GE-1B
2025_Spring_40000,GE-2
2025_Spring_40000,GE-5A
2025_Spring_33427,GE-1A
2025_Spring_33435,GE-1A
2025_Spring_03142,GE-1B
2025_Spring_03148,GE-1B
2025_Spring_05110,GE-2
2025_Spring_05160,GE-2
2025_Spring_22028,GE-6
2025_Spring_33330,GE-1A
2025_Spring_33345,GE-1A
2025_Spring_33347,GE-1A
2025_Spring_33350,GE-1A
2025_Spring_33366,GE-1A
2025_Spring_35430,GE-3
2025_Spring_05770,GE-1B
2025_Spring_06011,GE-1B
2025_Spring_47470,GE-2
2025_Spring_47470,GE-5A
2025_Spring_13508,GE-2
2025_Spring_13508,GE-5A
2025_Spring_33040,GE-1A
2025_Spring_33205,GE-1A
2025_Spring_33202,GE-1A
2025_Spring_33203,GE-1A
2025_Spring_33234,GE-1A
2025_Spring_33258,GE-1A
2025_Spring_33259,GE-1A
2025_Spring_33337,GE-1A
2025_Spring_22300,GE-4
2025_Spring_33360,GE-1A
2025_Spring_33362,GE-1A
2025_Spring_23165,GE-1B
2025_Spring_40280,GE-2
2025_Spring_40280,GE-5A
2025_Spring_06013,GE-1B
2025_Spring_06014,GE-1B
2025_Spring_13295,GE-1B
2025_Spring_05085,GE-2
2025_Spring_12107,GE-7
2025_Spring_60190,GE-1B
2025_Spring_62070,GE-3
2025_Spring_33363,GE-1A
2025_Spring_33364,GE-1A
2025_Spring_33377,GE-1A
2025_Spring_33380,GE-1A
2025_Spring_33381,GE-1A
2025_Spring_33382,GE-1A
2025_Spring_33339,GE-1A
2025_Spring_24815,GE-6
2025_Spring_25645,GE-8
2025_Spring_35880,GE-1B
2025_Spring_27702,GE-1A
2025_Spring_33371,GE-1A
2025_Spring_33419,GE-1A
2025_Spring_26310,GE-6
2025_Spring_20978,GE-4
2025_Spring_20978,GE-8
